244;4856;Cordoba;Diego De Rojas
245;4872;Cordoba;La Puerta
246;4884;Cordoba;Villa Fontana
247;4931;Cordoba;Saldan
248;4952;Cordoba;S. De Ycho Cruz
249;4959;Cordoba;V Rio Ycho Cruz
250;4960;Cordoba;Ycho Cruz Sierras
251;4966;Cordoba;Cabalango
252;5000;Cordoba;Cordoba
253;5000;Cordoba;Cordoba - Alberdi
254;5000;Cordoba;Cordoba - Alta Cordoba
255;5000;Cordoba;Cordoba - Bella Vista
256;5000;Cordoba;Cordoba - Centro
257;5000;Cordoba;Cordoba - Guemes
258;5000;Cordoba;Cordoba - Independencia
259;5000;Cordoba;Cordoba - Nueva Cordoba
260;5000;Cordoba;Cordoba - Olivos
261;5000;Cordoba;Cordoba - Parque Sarmiento
262;5000;Cordoba;Cordoba - Paso De Los Andes
263;5000;Cordoba;Cordoba - Providencia
264;5000;Cordoba;Cordoba - San Martin
265;5001;Cordoba;Cordoba
266;5001;Cordoba;Cordoba - Alta Cordoba
267;5001;Cordoba;Cordoba - Ayacucho
268;5001;Cordoba;Cordoba - Cda General Bustos
269;5001;Cordoba;Cordoba - Centro America
270;5001;Cordoba;Cordoba - General Bustos
271;5001;Cordoba;Cordoba - H Yrigoyen
272;5001;Cordoba;Cordoba - Hipolito Yrigoyen
273;5001;Cordoba;Cordoba - La Fraternidad
274;5002;Cordoba;Cordoba
275;5002;Cordoba;Cordoba - Alto Alberdi
276;5002;Cordoba;Cordoba - Estadio Chateau Carreras
277;5002;Cordoba;Cordoba - General Deheza
278;5002;Cordoba;Cordoba - Las Dalias
279;5002;Cordoba;Cordoba - Las Violetas
280;5002;Cordoba;Cordoba - Los Platanos
281;5002;Cordoba;Cordoba - Los Robles
282;5002;Cordoba;Cordoba - Parque Republica
283;5002;Cordoba;Cordoba - San Salvador
284;5002;Cordoba;Cordoba - Tranviario
285;5003;Cordoba;Cordoba
286;5003;Cordoba;Cordoba - A Alberdi / Marechal
287;5003;Cordoba;Cordoba - Alto Alberdi
288;5003;Cordoba;Cordoba - Chateau Carreras
289;5003;Cordoba;Cordoba - Gral Urquiza
290;5003;Cordoba;Cordoba - Las Violetas
291;5003;Cordoba;Cordoba - Parque Don Bosco
292;5003;Cordoba;Cordoba - Providencia
293;5003;Cordoba;Cordoba - Quebrada Las Rosas
294;5003;Cordoba;Cordoba - Res Ch Carreras
295;5003;Cordoba;Cordoba - Sale Sitram
296;5003;Cordoba;Cordoba - Villa Paez
297;5003;Cordoba;Cordoba - Villa Silburu
298;5003;Cordoba;Cordoba - Villa Urquiza
299;5004;Cordoba;Cordoba
300;5004;Cordoba;Cordoba - Alto Gralpaz
301;5004;Cordoba;Cordoba - Bajada De Piedra
302;5004;Cordoba;Cordoba - Gral Paz / Juniors
303;5004;Cordoba;Cordoba - Juniors
304;5004;Cordoba;Cordoba - Pueyrredon
305;5004;Cordoba;Cordoba - Renacimiento
